row status,DOCUMENTED STATUS,title,image_html,image_link,image_link_title,reference_image_url,reference_image_title,video_link,status,requested,topic,noun_project,team,description,body,social_tags,event
done,needs image,Abandoned Vehicle,,,,,,,Find images of sketches,y,311,,,,,"iconathon, iconathonsf, codeforamerica, thenounproject, 311, non-emergency city services, cities",Iconathon Fall 2011: SF 311
done,load to website,Animals & Pets,,,,,,,Not started,y,311,,,,,"iconathon, iconathonsf, codeforamerica, thenounproject, 311, non-emergency city services, cities",Iconathon Fall 2011: SF 311
done,load to website,Athletic Field,,,,,,,Not started,n,311,,,,,"iconathon, iconathonsf, codeforamerica, thenounproject, 311, non-emergency city services, cities",Iconathon Fall 2011: SF 311
done,needs image,Athletic Field Reservations,,,,,,,Find images of sketches,n,311,,,,,"iconathon, iconathonsf, codeforamerica, thenounproject, 311, non-emergency city services, cities",Iconathon Fall 2011: SF 311
done,needs image,Bike Rack,,,,,,,Has research,n,311,,,,,"iconathon, iconathonsf, codeforamerica, thenounproject, 311, non-emergency city services, cities",Iconathon Fall 2011: SF 311
done,needs image,Blocked Driveway,,,,,,,Find images of sketches,n,311,,,,,"iconathon, iconathonsf, codeforamerica, thenounproject, 311, non-emergency city services, cities",Iconathon Fall 2011: SF 311
done,load to website,Blocked Public Right of Way,,,,,,,Not started,n,311,,,,,"iconathon, iconathonsf, codeforamerica, thenounproject, 311, non-emergency city services, cities",Iconathon Fall 2011: SF 311
done,load to website,Blocked Public Right of Way,,,,,,,Not started,n,311,,,,,"iconathon, iconathonsf, codeforamerica, thenounproject, 311, non-emergency city services, cities",Iconathon Fall 2011: SF 311
done,needs image,Broken Bench,,,,,,,Find images of sketches,n,311,,,,,"iconathon, iconathonsf, codeforamerica, thenounproject, 311, non-emergency city services, cities",Iconathon Fall 2011: SF 311
done,needs image,Broken Limb,,,,,,,Find images of sketches,n,311,,,,,"iconathon, iconathonsf, codeforamerica, thenounproject, 311, non-emergency city services, cities",Iconathon Fall 2011: SF 311
